	strain_host	corrected_host	latin_name	category	order	domesticstatus	source
45	anas_plathyrhynchos	mallard	Anas platyrhynchos	duck	anseriformes	wild	clara_birds
46	anas_platyrhynchos	mallard	Anas platyrhynchos	duck	anseriformes	wild	clara_birds
47	anas_platyrhynchos_var._domesticus	domesticmallard	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds
48	anas_platyrhynchos_x_anas_acuta	mallardpintailhybrid		duck	anseriformes	domestic	clara_birds
49	anas_querquedula	gargeny	Anas querquedula	duck	anseriformes	wild	clara_birds
50	anas_rubripes	americanblackduck	Anas rubripes	duck	anseriformes	wild	clara_birds
51	anas_sp.	duck		duck	anseriformes	unknown	clara_birds
52	anas_strepera	gadwall	Mareca strepera	duck	anseriformes	wild	clara_birds
53	anascrecca	eurasiangreenwingedteal	Anas crecca	duck	anseriformes	wild	jordan
54	anaspenelope	eurasianwigeon	Mareca penelope	duck	anseriformes	wild	clara_global
55	anasplatyrhynchos	mallard	Anas platyrhynchos	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
56	anasplatyrhynchosdomestica	domesticduck	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds,jordan,clara_global
57	anasplatyrhynchosdomesticus	domesticduck	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds,jordan,clara_global
58	anatinae	wildduck	Anatidae	duck	anseriformes	wild	clara_nam
59	animal	animal		animal	animal	unknown	clara_birds
60	anser			goose	anseriformes	unknown	jordan
61	anser_albifrons	greaterwhitefrontedgoose		goose	anseriformes	wild 	clara_birds
62	anser_caerulescens	snowgoose	Anser caerulescens	goose	anseriformes	wild	clara_birds
63	anser_cygnoides	swangoose	Anser cygnoides	goose	anseriformes	unknown	clara_birds
64	anser_fabalis	beangoose	Anser fabalis	goose	anseriformes	wild	clara_birds
65	anseralbifrons	greaterwhitefrontedgoose	Anser albifrons	goose	anseriformes	wild	clara_birds,clara_global
66	anseranser	greylaggoose	Anser anser	goose	anseriformes	unknown	clara_birds,clara_global
67	anseranserdomesticus	domesticgoose	Anser anser	goose	anseriformes	domestic	clara_birds,clara_global
68	anserbrachyrhynchus	pinkfootedgoose	Anser brachyrhynchus	goose	anseriformes	wild	clara_birds,jordan
69	anserbrachyrhynchusanseranser	multispecies				unknown	jordan
70	ansercygnoides	swangoose	Anser cygnoides	goose	anseriformes	unknown	clara_birds
71	anserfabalis	beangoose	Anser fabalis	goose	anseriformes	wild	jordan
72	anseriformes	aquaticbird		waterfowl	anseriformes	unknown	clara_birds
73	anseriformes_sp.	aquaticbird		avian	anseriformes	unknown	clara_birds
74	anserindicus	barheadedgoose	Anser indicus	goose	anseriformes	wild	jordan
75	antarctictern	antarctictern	Sterna vittata	tern	charadriiformes	wild	jordan
76	aquaticbird	aquaticbird		aquatic_bird	avian	unknown	clara_birds,jordan
77	aquilafasciata	bonelliseagle	Aquila gasciata	raptor	accipitriformes	wild	jordan
78	arctictern	arctictern	Sterna paradisaea	tern	charadriiformes	wild	clara_nam,clara_birds,clara_global
79	ardeaalba	greategret	Ardea alba	egret	pelecaniformes	wild	jordan
80	ardeacinera	greyheron	Ardea cinerea	heron	pelecaniformes	wild	clara_birds
81	ardeacinerea	greyheron	Ardea cinerea	heron	pelecaniformes	wild	clara_birds,clara_global
82	arenaria_interpres	ruddyturnstone	Arenaria interpres	wader	charadriiformes	wild	clara_birds
83	armeniangull	armeniangull	Larus armenicus	gull	charadriiformes	wild	jordan
84	artictern	arctictern	Sterna paradisaea	tern	charadriiformes	wild	jordan,clara_global
85	asianopenbill	asianopenbill	Anastomus oscitans	wader	ciconiiformes	wild	jordan
86	atlanticpuffin	atlanticpuffin	Fratercula arctica	seabird	charadriiformes	wild	clara_nam
87	audouinsgull	audouinsgull	Ichthyaetus audouinii	gull	charadriiformes	wild	jordan
88	australianbrushturkey	australianbrushturkey	Alectura lathami	turkey	galliformes	unknown	jordan,clara_global
89	aves	aves			unknown	unknown	clara_nam,clara_global
90	avian	avian		avian	unknown	unknown	clara_nam,clara_birds,clara_global
91	aythya_collaris	ringneckedduck		duck	anseriformes	wild	clara_birds
92	aythyafuligula	tuftedduck	Aythya fuligula	duck	anseriformes	wild	clara_birds,jordan,clara_global
93	babbler	oldworldbabbler		passerine	passeriformes	wild	clara_birds
94	backheadedgull	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	jordan
95	backyardbird	backyardbird			unknown	domestic	clara_nam,clara_global
96	backyardchicken	chicken	Gallus gallus	chicken	galliformes	domestic	jordan,clara_global
97	backyardduck	backyardduck		duck	anseriformes	domestic	jordan,clara_global
98	backyardpoultry			unknown	unknown	domestic	jordan
99	backyardturkey	backyardturkey		turkey	galliformes	domestic	jordan,clara_global
100	baerspochard	baerspochard	Aythya baeri	duck	anseriformes	unknown	clara_nam
101	baikalteal	baikalteal	Sibirionetta formosa	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
102	baldeagle	baldeagle	Haliaeetus leucocephalus	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
103	bandtailedgull	belchergull	Larus belcheri	gull	charadriiformes	wild	jordan,clara_global
104	bantam	bantam		unknown	galliformes	domestic	clara_birds
105	bar_headed_goose	barheadedgoose		goose	anseriformes	wild	clara_birds
106	bar_headedgoose	barheadedgoose		goose	anseriformes	wild	clara_birds
107	bar-headed_goose_(anser_indicus)	barheadedgoose		goose	anseriformes	wild	clara_birds
108	bar-headedgoose	barheadedgoose		goose	anseriformes	wild	clara_birds
109	barheadedgoose	barheadedgoose	Anser indicus	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
110	barn_swallow	barnswallow		passerine	passeriformes	wild	clara_birds
111	barnaclegoose	barnaclegoose	Branta leucopsis	goose	anseriformes	wild	clara_birds,clara_global
112	barnowl	barnowl	Tyto alba	owl	strigiformes	wild	clara_nam,clara_birds,clara_global
113	barnswallow	barnswallow	Hirundo rustica	passerine	passeriformes	wild	clara_nam,clara_birds
114	barredowl	barredowl	Strix varia	owl	strigiformes	wild	clara_nam,clara_birds,clara_global
115	barrowsgoldeneye	barrowsgoldeneye	Bucephala islandica	duck	anseriformes	wild	clara_nam,clara_global
116	bean_goose	beangoose		goose	anseriformes	wild	clara_birds
117	beangoose	beangoose		goose	anseriformes	wild	clara_birds,clara_global
118	beardedvulture	beardedvulture	Gypaetus barbatus	raptor	accipitriformes	wild	clara_birds,jordan,clara_global
119	belchergull	belchergull	Larus belcheri	gull	charadriiformes	wild	jordan,clara_global
120	bewick_swan	bewicksswan	Cygnus columbianus bewickii	swan	anseriformes	wild	clara_birds
121	bewick's_swan	bewicksswan	Cygnus columbianus bewickii	swan	anseriformes	wild	clara_birds
122	bewicksswan	bewicksswan	Cygnus columbianus bewickii	swan	anseriformes	wild	jordan
123	bird	avian		avian	avian	unknown	clara_birds
124	bkswan					unknown	jordan
125	blachheadedgull	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	jordan
126	black_crowned_night_heron	blackcrownednightheron	Nycticorax nycticorax	heron	pelecaniformes	wild	clara_birds
127	black_duck	americanblackduck	Anas rubripes	duck	anseriformes	wild	clara_birds
128	black_scoter	blackscoter	Melanitta americana	duck	anseriformes	wild	clara_birds
129	black_swan	blackswan	Cygnus atratus	swan	anseriformes	wild	clara_birds
130	black-crownednightheron	blackcrownednightheron	Nycticorax nycticorax	heron	pelecaniformes	wild	clara_birds
131	black-headedgoose	blackheadedgoose	unknown	goose	anseriformes	unknown	clara_birds
132	black-headedgull	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	clara_birds
133	black-neckedgrebe	earedgrebe	Podiceps nigricollis	grebe	podicipediformes	wild	clara_birds
134	blackbackedgull	blackbackedgull		gull	charadriiformes	wild	jordan,clara_global
135	blackbelliedplover	blackbelliedplover	Pluvialis squatarola	wader	charadriiformes	wild	clara_nam
136	blackbelliedwhistlingduck	blackbelliedwhistlingduck	Dendrocygna autumnalis	duck	anseriformes	wild	jordan
137	blackbilledmagpie	blackbilledmagpie	Pica hudsonia	passerine	passeriformes	wild	clara_nam,clara_global
138	blackbird	blackbird	Turdus merula	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
139	blackbrant	blackbrant	Branta bernicla nigricans	goose	anseriformes	wild	clara_nam,clara_global
140	blackbulbul	blackbulbul	Hypsipetes leucocephalus	passerine	passeriformes	wild	clara_birds
141	blackchicken	chicken	Gallus gallus	chicken	galliformes	domestic	jordan
142	blackcrownednightheron	blackcrownednightheron	Nycticorax nycticorax	heron	pelecaniformes	wild	clara_nam,clara_global
143	blackduck	americanblackduck		duck	anseriformes	wild	clara_birds
144	blackfacedspoonbill	blackfacedspoonbill	Platalea minor	wader	pelecaniformes	wild	jordan,clara_global
145	blackheadeadgull	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	jordan,clara_global
146	blackheadedgull	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	clara_birds,clara_global
147	blackheadedheron	blackheadedheron	Ardea melanocephala	heron	pelecaniformes	wild	jordan
148	blackleggedkitiwake	blackleggedkittiwake	Rissa tridactyla	gull	charadriiformes	wild	jordan
149	blackleggedkittiwake	blackleggedkittiwake	Rissa tridactyla	gull	charadriiformes	wild	clara_nam,clara_global
150	blackneckcrane	blackneckedcrane	Grus nigricollis	crane	gruiformes	wild 	jordan
151	blackneckedgrebe	earedgrebe	Podiceps nigricollis	grebe	podicipediformes	wild	clara_birds
152	blackneckedswan	blackneckswan	Cygnus melancoryphus	swan	anseriformes	unknown	jordan,clara_global
153	blackneckswan	blackneckswan	Cygnus melancoryphus	swan	anseriformes	unknown	clara_nam
154	blacknestedgrebe	earedgrebe	Podiceps nigricollis	duck	anseriformes	wild	clara_birds
155	blackscoter	blackscoter	Melanitta americana	duck	anseriformes	wild	clara_nam,clara_global
156	blackskimmer	blackskimmer	Rynchops niger	seabird	charadriiformes	wild	clara_nam,clara_birds,clara_global
157	blackswan	blackswan	Cygnus atratus	swan	anseriformes	wild	clara_nam,clara_birds,clara_global
158	blackswift	blackswift	Cypseloides niger	swift	apodiformes	wild	clara_nam,clara_global
159	blackthroatedcrane	blackneckedcrane	Grus nigricollis	crane	gruiformes	wild 	jordan,clara_global
160	blackturnstone	blackturnstone	Arenaria melanocephala	wader	charadriiformes	wild	clara_nam,clara_global
161	blackvulture	blackvulture	Coragyps atratus	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
162	blhgull	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	jordan
163	blue_winged-teal	bluewingedteal	Spatula discors	duck	anseriformes	wild	clara_birds
164	bluebird	bluebird	Sialia	passerine	passeriformes	wild	jordan
165	bluecrane	bluecrane	Grus paradisea	crane	gruiformes	wild	jordan
166	bluegoose	snowgoose	Anser caerulescens	goose	anseriformes	wild	jordan
167	bluejay	bluejay	Cyanocitta cristata	passerine	passeriformes	wild	clara_nam,clara_global
168	bluemagpie	redbilledbluemagpie	Urocissa erythroryncha	magpie	passeriformes	wild	clara_birds
169	bluewingedteal	bluewingedteal	Spatula discors	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
170	bonapartesgull	bonapartesgull	Chroicocephalus philadelphia	gull	charadriiformes	wild	clara_nam,clara_global
171	brahmachicken	brahmachicken		chicken	galliformes	domestic	clara_birds,jordan
172	brandtgoose	brant	Branta bernicla	goose	anseriformes	wild	clara_nam
173	brant	brant	Branta bernicla	goose	anseriformes	wild	clara_nam,clara_global
174	branta_leucopsis	barnaclegoose	Branta leucopsis	goose	anseriformes	wild	clara_birds
175	brantacanadensis	canadagoose	Branta canadensis	goose	anseriformes	wild	clara_birds,jordan,clara_global
176	brantaleucopsis	barnaclegoose	Branta leucopsis	goose	anseriformes	wild	clara_birds,clara_global
177	brantgoose	brentgoose	Branta bernicla	goose	anseriformes	wild	clara_birds,jordan,clara_global
178	brazilianteal	brazilianteal	Amazonetta brasiliensis	duck	anseriformes	unknown	clara_nam
179	breederchicken	breederchicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,jordan
180	breederduck	breederduck		duck	anseriformes	domestic	clara_birds,jordan
181	brentgoose	brentgoose	Branta bernicla	goose	anseriformes	wild	clara_birds,clara_global
182	brewersblackbird	brewersblackbird	Euphagus cyanocephalus	passerine	passeriformes	wild	clara_nam
183	broadwingedhawk	broadwingedhawk	Buteo platypterus	raptor	accipitriformes	wild	clara_nam,clara_global
184	broildrduck	domesticduck		duck	anseriformes	domestic	jordan
185	broiler	chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,clara_global
186	broilerbreederschicken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_global
187	broilerchicken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_birds,clara_global
188	broilerduck	broilerduck		duck	anseriformes	domestic	clara_birds,jordan
189	bronzeturkey	bronzeturkey		turkey	galliformes	domestic	clara_birds,jordan
190	brown_headed_gull	brownheadedgull		gull	charadriiformes	wild	clara_birds
191	brown_headedgull	brownheadedgull		gull	charadriiformes	wild	clara_birds
192	brown-headedgull	brownheadedgull		gull	charadriiformes	wild	clara_birds
193	brown-headgull	brownheadedgull		gull	charadriiformes	wild	clara_birds
194	brownbooby	brownbooby	Sula leucogaster	seabird	suliformes	wild	jordan,clara_global
195	brownheadedgull	brownheadedgull	Chroicocephalus brunnicephalus	gull	charadriiformes	wild	clara_birds,clara_global
196	brownpelican	brownpelican	Pelecanus occidentalis	pelican	pelecaniformes	wild	clara_nam,clara_global
197	brownskua	brownskua	Stercorarius antarcticus	seabird	charadriiformes	wild	jordan
198	bubobubo	eagleowl	Bubo bubo	raptor	accipitriformes	wild	jordan,clara_global
199	bucefala_clangula	commongoldeneye	Bucephala clangula	duck	anseriformes	wild	clara_birds
200	bucephala_albeola	bufflehead	Bucephala albeola	duck	anseriformes	wild	clara_birds
201	bufflehead	bufflehead	Bucephala albeola	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
202	buffleheadduck	bufflehead	Bucephala albeola	duck	anseriformes	wild	jordan,clara_global
203	buffneckedibis	buffneckedibis	Theristicus caudatus	wader	pelecaniformes	wild	jordan
204	bufforpingtonchicken	chicken	Gallus gallus	chicken	galliformes	domestic	jordan
205	bulbul	bulbul	unknown	passerine	passeriformes	wild	jordan
206	burrowingowl	burrowingowl	Athene cunicularia	owl	strigiformes	wild	jordan
207	buteobuteo	commonbuzzard	Buteo buteo	raptor	accipitriformes	wild	clara_birds,clara_global
208	buzzard	commonbuzzard	Buteo buteo	raptor	accipitriformes	wild	clara_birds,clara_global
209	cacklinggoose	cacklinggoose	Branta hutchinsii	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
210	cairina_moschata	muscovyduck	Cairina moschata	duck	anseriformes	unknown	clara_birds
211	cairinamoschata	muscovyduck	Cairina moschata	duck	anseriformes	unknown	jordan,clara_global
212	calidris_alba	sanderling	Calidris alba	wader	charadriiformes	wild	clara_birds
213	calidris_alpina	dunlin	Calidris alpina	wader	charadriiformes	wild	clara_birds
214	calidris_canutus	redknot	Calidris canutus	wader	charadriiformes	wild	clara_birds
215	calidris_pusilla	semipalmatedsandpiper	Calidris pusilla	wader	charadriiformes	wild	clara_birds
216	calidrisalba	sanderling	Calidris alba	wader	charadriiformes	wild	jordan,clara_global
217	californiacondor	californiacondor	Gymnogyps californianus	raptor	accipitriformes	wild	clara_nam,clara_global
218	californiagull	californiagull	Larus californicus	gull	charadriiformes	wild	clara_nam,clara_global
219	camel	camel		camel	camel	unknown	clara_birds
220	canada_goose	canadagoose	Branta canadensis	goose	anseriformes	wild 	clara_birds
221	canadagoose	canadagoose	Branta canadensis	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
222	canine	canine		canine	canine	unknown	clara_birds
223	canis_lupus_familiaris	canine		canine	canine	unknown	clara_birds
224	canvasback	canvasback	Aythya valisineria	duck	anseriformes	wild	clara_nam
225	capebarrengoose	capebarrengoose	Cereopsis novaehollandiae	goose	anseriformes	wild	jordan
226	capecormorant	capecormorant	Phalacrocorax capensis	seabird	suliformes	wild	jordan
227	capegannet	capegannet	Morus capensis	seabird	suliformes	wild	jordan
228	capeteal	capeteal	Anas capensis	duck	anseriformes	unknown	clara_nam,clara_birds,clara_global
229	captivegoose	goose		goose	anseriformes	unknown	jordan
230	carolinaduck	woodduck	Aix sponsa	duck	anseriformes	wild	jordan,clara_global
231	carrioncrow	carrioncrow	Corvus corone	passerine	passeriformes	wild	jordan,clara_global
232	cascadeduck	cascadeduck		duck	anseriformes	domestic	clara_nam,clara_birds,clara_global
233	caspiangull	caspiangull	Larus cachinnans	gull	charadriiformes	wild	clara_birds,clara_global
234	caspiantern	caspiantern	Hydroprogne caspia	tern	charadriiformes	wild	clara_nam,clara_global
235	cat	feline		feline	carnivora	unknown	clara_birds
236	catalinamacaw	catalinamacaw	Ara ararauna or Ara macao	parrot	psittaciformes	unknown	clara_nam,clara_global
237	cattleegret	cattleegret	Ardea ibis	wader	pelecaniformes	wild	clara_nam,clara_birds
238	ccrow	crow		crow	passeriformes	wild	clara_birds
239	cgull	gull	unknown	gull	charadriiformes	unknown	jordan
240	ch	chicken		chicken	galliformes	domestic	clara_birds
241	chciken	chicken	Gallus gallus	chicken	galliformes	domestic	jordan
242	chen_canagica	emperorgoose	Anser canagicus	goose	anseriformes	wild	clara_birds
243	chestnut_teal	chestnutteal	Anas castanea	duck	anseriformes	wild	clara_birds
244	chestnutmunia	chestnutmunia	Lonchura atricapilla	finch	passeriformes	wild	clara_birds
245	chestnutteal	chestnutteal	Anas castanea	duck	anseriformes	wild	jordan
246	chichen	chicken	Gallus gallus	chicken	galliformes	domestic	jordan,clara_global
247	chick	chicken	Gallus gallus	chicken	galliformes	domestic	jordan
248	chicken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_birds,clara_global
249	chickencobb	chicken	Gallus gallus	chicken	galliformes	domestic	jordan
250	chickenl	chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,jordan
251	chiken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,clara_global
252	chileanflamingo	chileanflamingo	Phoenicopterus chilensis	wader	phoenicopteriformes	unknown	clara_nam
253	chiloewigeon	chiloewigeon	Mareca sibilatrix	duck	anseriformes	wild	clara_birds,jordan
254	chinesepondheron	chinesepondheron	Ardeola bacchus	heron	pelecaniformes	wild 	clara_birds
255	chineseringneckpheasant	commonpheasant	Phasianus colchicus	pheasant	galliformes	wild	clara_nam,clara_birds,clara_global
256	chinstrappenguin	chinstrappenguin	Pygoscelis antarcticus	penguin	sphenisciformes	wild	jordan
257	chlidoniashybrida	whiskeredtern	Chlidonias hybrida	tern	charadriiformes	wild	jordan
258	chroicocephalus_ridibundus	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	clara_birds
259	chroicocephalusridibundus	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	clara_birds,jordan,clara_global
260	chukar	chukar	Alectoris chukar	partridge	galliformes	wild	clara_birds
261	chukkar	chukar	Alectoris chukar	partridge	galliformes	wild	clara_birds,jordan
262	ciconiaciconia	whitestork	Ciconia ciconia	stork	ciconiiformes	wild	clara_birds,clara_global
263	cignusolor	muteswan	Cygnus olor	goose	anseriformes	wild	clara_birds,clara_global
264	cinereousvulture	cinereousvulture	Aegypius monachus	raptor	accipitriformes	wild	clara_birds
265	cinnamonteal	cinnamonteal	Spatula cyanoptera	duck	anseriformes	wild	clara_nam,clara_global
266	ck	chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds
267	clangula_hyemalis	longtailedduck	Clangula hyemalis	duck	anseriformes	wild	clara_birds
268	cloacalswabece1	unknown	unknown	unknown	unknown	unknown	jordan
269	columbapalumbus	commonwoodpigeon	Columba palumbus	pigeon	columbiformes	wild	clara_birds,jordan,clara_global
270	commercialchicken	chicken	Gallus gallus	chicken	galliformes	domestic	jordan
271	commomteal	eurasianteal	Anas crecca	teal	anseriformes	wild	jordan
272	common_goldeneye	commongoldeneye	Bucephala clangula	duck	anseriformes	wild	clara_birds
273	common_pochard	commonpochard	Aythya ferina	duck	anseriformes	wild	clara_birds
274	common_shelduck	commonshelduck	Tadorna tadorna	duck	anseriformes	wild	clara_birds
275	common_teal	eurasianteal	Anas crecca	teal	anseriformes	wild	clara_birds
276	commonbarnowl	barnowl	Tyto alba	owl	strigiformes	wild	clara_nam,clara_global
277	commonbussard	commonbuzzard	Buteo buteo	raptor	accipitriformes	wild	clara_birds
278	commonbuzzard	commonbuzzard	Buteo buteo	raptor	accipitriformes	wild	clara_birds,clara_global
279	commoncoot	commoncoot	Fulica atra	coot	gruiformes	wild	clara_birds,clara_global
280	commoncormorant	greatcormorant	Phalacrocorax carbo	seabird	suliformes	wild	jordan
281	commoncrane	commoncrane	Grus grus	crane	gruiformes	wild	clara_birds,clara_global
282	commoneider	commoneider	Somateria mollissima	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
283	commoneiders	commoneider	Somateria mollissima	duck	anseriformes	wild	clara_nam,clara_global
284	commongoldeneye	commongoldeneye	Bucephala clangula	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
285	commongrackle	commongrackle	Quiscalus quiscula	passerine	passeriformes	wild	clara_nam,clara_global
286	commongull	commongull	Larus canus	gull	charadriiformes	wild	clara_birds,clara_global
287	commonkestel	commonkestrel	Falco tinnunculus	raptor	falconiformes	wild	jordan
288	commonkestral	commonkestrel	Falco tinnunculus	raptor	falconiformes	wild	clara_birds
289	commonkestrel	commonkestrel	Falco tinnunculus	raptor	falconiformes	wild	clara_birds,clara_global
290	commonketrel	commonkestrel	Falco tinnunculus	raptor	falconiformes	wild	clara_birds
291	commonkingfisher	eurasiankingfisher	Alcedo atthis	kingfisher	coraciiformes	wild	jordan
292	commonloon	commonloon	Gavia immer	duck	gaviiformes	wild	clara_nam,clara_global
293	commonmagpie	commongreenmagpie	Cissa chinensis	passerine	passeriformes	wild	clara_birds
294	commonmerganser	commonmerganser	Mergus merganser	duck	anseriformes	wild 	clara_nam
295	commonmoorhen	waterhen	Gallinula chloropus	wader	gruiformes	wild	jordan
296	commonmurre	commonmurre	Uria aalge	gull	charadriiformes	wild	clara_nam,clara_global
297	commonmyna	commonmyna	Acridotheres tristis	passerine	passeriformes	wild	clara_birds
298	commonpheasant	commonpheasant	Phasianus colchicus	pheasant	galliformes	wild	clara_birds,clara_global
299	commonpochard	commonpochard	Aythya ferina	duck	anseriformes	wild	clara_birds
300	commonporchard	commonpochard	Aythya ferina	duck	anseriformes	wild	jordan
301	commonquail	quail	Coturnix coturnix	quail	galliformes	unknown	jordan,clara_global
302	commonraven	commonraven	Corvus corax	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
303	commonshelduck	commonshelduck	Tadorna tadorna	duck	anseriformes	wild	jordan,clara_global
304	commonsnipe	commonsnipe	Gallinago gallinago	wader	charadriiformes	wild	jordan
305	commonteal	eurasianteal	Anas crecca	duck	anseriformes	wild	clara_birds,clara_global
306	commontern	commontern	Sterna hirundo	tern	charadriiformes	wild	clara_nam,clara_birds,clara_global
307	comongoldeneye	commongoldeneye	Bucephala clangula	duck	anseriformes	wild	jordan
308	condor	condor	unknown	raptor	charadriiformes	wild	clara_birds
309	coopershawk	coopershawk	Accipiter cooperii	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
310	coopersshawk	coopershawk	Accipiter cooperii	raptor	accipitriformes	wild	clara_nam,clara_global
311	coot	coot	Fulica	coot	gruiformes	wild	clara_birds,clara_global
