strain_host	corrected_host	latin_name	category	order	domesticstatus	source
?anserbrachyrhynchus	pinkfootedgoose	Anser brachyrhynchus	goose	anseriformes	wild	jordan,clara_global
American_Pekin_duck	American_Pekin_duck		duck	anseriformes		clara_birds
Eurasian_coot	Eurasian_coot		coot	gruiformes		clara_birds
Peruvian_pelican	Peruvian_pelican		pelican	pelecaniformes		clara_birds
aalopochenaegyptiaca	egyptiangoose	Alopochen aegyptiaca	goose	anseriformes	wild	jordan,clara_global
african_goose	african_goose		goose	anseriformes		clara_birds
africanbarnowl						jordan
africanblackoystercatcher						jordan
africancrownedcrane	africancrownedcrane	Balearica regulorum	crane	gruiformes	unknown	clara_nam
africanfisheagle						jordan
africangoose	africangoose	Anser cygnoides domesticus	goose	anseriformes	unknown	clara_nam,clara_birds,clara_global
africanoystercatcher						jordan
africanpenguin	africanpenguin	Spheniscus demersus		sphenisciformes	unknown	jordan
aix_sponsa	wood_duck	Aix sponsa	duck	anseriformes		clara_birds
amazonparrot	amazonparrot	Amazona	parrot	psittaciformes	unknown	clara_nam,clara_global
american_coot	american_coot		coot	gruiformes		clara_birds
american_green_winged_teal	American_green-winged_teal		duck	anseriformes		clara_birds
american_oystercatcher	american_oystercatcher		wader	charadriiformes		clara_birds
american_widgeon	American_wigeon		duck	anseriformes		clara_birds
american_wigeon	American_wigeon		duck	anseriformes		clara_birds
americanblackduck	americanblackduck	Anas rubripes	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
americanbluewingedteal	bluewingedteal	Spatula discors	duck	anseriformes	wild	clara_nam,clara_birds
americanbuffgoose	americanbuffgoose	Anser anser domesticus	goose	anseriformes	domestic	clara_nam,clara_birds,clara_global
americancoot	americancoot	Fulica americana	crane	gruiformes	wild	clara_nam,clara_global
americancrow	americancrow	Corvus brachyrhynchos	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
americangoshawk	americangoshawk	Astur atricapillus	raptor	accipitriformes	wild	clara_nam
americangreen-wingedteal	American_green-winged_teal		duck	anseriformes		clara_birds
americangreen_wingedteal	green-winged_teal		duck	anseriformes		clara_birds
americangreenwingedteal	greenwingedteal	Anas carolinensis	duck	anseriformes	wild	clara_nam,clara_global
americankestrel	americankestrel	Falco sparverius	raptor	falconiformes	wild	clara_nam,clara_global
americanpelican	americanwhitepelican	Pelecanus erythrorhynchos	pelican	pelecaniformes	wild	clara_nam,clara_birds,clara_global
americanraven	commonraven	Corvus corax 	passerine	passeriformes	wild	clara_nam,clara_global
americanrobin	americanrobin	Turdus migratorius	passerine	passeriformes	wild	clara_nam,clara_global
americanwhitepelican	americanwhitepelican	Pelecanus erythrorhynchos	pelican	pelecaniformes	wild	clara_nam,clara_birds,clara_global
americanwidgeon	americanwigeon	Mareca americana	duck	anseriformes	wild	jordan
americanwigeon	americanwigeon	Mareca americana	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
americanwoodcock						jordan
americanwoodstork	americanwoodstork	Mycteria americana	wader	ciconiiformes	wild	clara_nam
anade	duck			unknown	unknown	jordan,clara_global
anas_acuta	Northern_pintail	Anas acuta	duck	anseriformes		clara_birds
anas_americana	American_wigeon	Mareca americana	duck	anseriformes		clara_birds
anas_carolinensis	green-winged_teal	Anas carolinensis	duck	anseriformes		clara_birds
anas_clypeata	northern_shoveler	Spatula clypeata	duck	anseriformes		clara_birds
anas_crecca	green-winged_teal		duck	anseriformes		clara_birds
anas_cyanoptera	cinnamon_teal		duck	anseriformes		clara_birds
anas_discors	blue-winged_teal		duck	anseriformes		clara_birds
anas_georgica	yellow-billed_pintail		duck	anseriformes		clara_birds
anas_plathyrhynchos	mallard		duck	anseriformes		clara_birds
anas_platyrhynchos	mallard	Anas platyrhynchos	duck	anseriformes		clara_birds
anas_platyrhynchos_var._domesticus	domestic_mallard		duck	anseriformes		clara_birds
anas_platyrhynchos_x_anas_acuta	mallard-pintail_hybrid		duck	anseriformes		clara_birds
anas_querquedula	gargeny		duck	anseriformes		clara_birds
anas_rubripes	American_black_duck		duck	anseriformes		clara_birds
anas_sp.	duck		duck	anseriformes		clara_birds
anas_strepera	American_black_duck	Anas rubripes	duck	anseriformes		clara_birds
anascrecca						jordan
anaspenelope	eurasianwigeon	Mareca penelope	duck	anseriformes	wild	clara_global
anasplatyrhynchos	mallard	Anas platyrhynchos	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
anasplatyrhynchosdomestica	domestic_duck	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds,jordan,clara_global
anasplatyrhynchosdomesticus	domestic_duck	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds,jordan,clara_global
anatinae	wildduck	Anatidae	duck	anseriformes	wild	clara_nam
animal	animal		animal	animal		clara_birds
anser						jordan
anser_albifrons	Greater_white-fronted_goose		goose	anseriformes		clara_birds
anser_caerulescens	snow_goose		goose	anseriformes		clara_birds
anser_cygnoides	swan_goose		goose	anseriformes		clara_birds
anser_fabalis	bean_goose		goose	anseriformes		clara_birds
anseralbifrons	greater_white-fronted_goose	Anser albifrons	goose	anseriformes	wild	clara_birds,clara_global
anseranser	greylag_goose	Anser anser	goose	anseriformes	unknown	clara_birds,clara_global
anseranserdomesticus	domestic_goose	Anser anser	goose	anseriformes	domestic	clara_birds,clara_global
anserbrachyrhynchus	pink-footed_goose		goose	anseriformes		clara_birds,jordan
anserbrachyrhynchusanseranser	multispecies				unknown	jordan
ansercygnoides	swan_goose		goose	anseriformes		clara_birds
anserfabalis						jordan
anseriformes	waterfowl		waterfowl	anseriformes		clara_birds
anseriformes_sp.	avian		avian	anseriformes		clara_birds
anserindicus						jordan
antarctictern						jordan
aquaticbird	aquatic_bird		aquatic_bird	avian	unknown	clara_birds,jordan
aquilafasciata						jordan
arctictern	arctictern	Sterna paradisaea	tern	charadriiformes	wild	clara_nam,clara_birds,clara_global
ardeaalba						jordan
ardeacinera	Grey_heron		heron	pelecaniformes		clara_birds
ardeacinerea	Grey_heron	Ardea cinerea	heron	pelecaniformes	wild	clara_birds,clara_global
arenaria_interpres	ruddy_turnstone	Arenaria interpres	wader	charadriiformes		clara_birds
armeniangull						jordan
artictern	arctictern	Sterna paradisaea	tern	charadriiformes	wild	jordan,clara_global
asianopenbill						jordan
atlanticpuffin	atlanticpuffin	Fratercula arctica	seabird	charadriiformes	wild	clara_nam
audouinsgull						jordan
australianbrushturkey	australianbrushturkey	Alectura lathami	turkey	galliformes	unknown	jordan,clara_global
aves	aves			unknown	unknown	clara_nam,clara_global
avian	avian		avian	unknown	unknown	clara_nam,clara_birds,clara_global
aythya_collaris	ring-necked_duck		duck	anseriformes		clara_birds
aythyafuligula	tufted_duck	Aythya fuligula	duck	anseriformes	wild	clara_birds,jordan,clara_global
babbler	Old_World_babbler		passerine	passeriformes		clara_birds
backheadedgull						jordan
backyardbird	backyardbird			unknown	domestic	clara_nam,clara_global
backyardchicken	chicken	Gallus gallus	chicken	galliformes	domestic	jordan,clara_global
backyardduck	backyardduck		duck	anseriformes	domestic	jordan,clara_global
backyardpoultry						jordan
backyardturkey	backyardturkey		turkey	galliformes	domestic	jordan,clara_global
baerspochard	baerspochard	Aythya baeri	duck	anseriformes	unknown	clara_nam
baikalteal	baikalteal	Sibirionetta formosa	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
baldeagle	baldeagle	Haliaeetus leucocephalus	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
bandtailedgull	belchergull	Larus belcheri	gull	charadriiformes	wild	jordan,clara_global
bantam	bantam		fowl	galliformes		clara_birds
bar-headed_goose_(anser_indicus)	bar-headed_goose		goose	anseriformes		clara_birds
bar-headedgoose	bar-headed_goose		goose	anseriformes		clara_birds
bar_headed_goose	bar-headed_goose		goose	anseriformes		clara_birds
bar_headedgoose	bar-headed_goose		goose	anseriformes		clara_birds
barheadedgoose	barheadedgoose	Anser indicus	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
barn_swallow	barn_swallow		passerine	passeriformes		clara_birds
barnaclegoose	barnacle_goose	Branta leucopsis	goose	anseriformes	wild	clara_birds,clara_global
barnowl	barnowl	Tyto alba	owl	strigiformes	wild	clara_nam,clara_birds,clara_global
barnswallow	barnswallow	Hirundo rustica	passerine	passeriformes	wild	clara_nam,clara_birds
barredowl	barredowl	Strix varia	owl	strigiformes	wild	clara_nam,clara_birds,clara_global
barrowsgoldeneye	barrowsgoldeneye	Bucephala islandica	duck	anseriformes	wild	clara_nam,clara_global
bean_goose	bean_goose		goose	anseriformes		clara_birds
beangoose	bean_goose	Anser fabalis/serrirostris	goose	anseriformes	wild	clara_birds,clara_global
beardedvulture	bearded_vulture	Gypaetus barbatus	raptor	accipitriformes	wild	clara_birds,jordan,clara_global
belchergull	belchergull	Larus belcheri	gull	charadriiformes	wild	jordan,clara_global
bewick's_swan	bewicks_swan		swan	anseriformes		clara_birds
bewick_swan	bewicks_swan		swan	anseriformes		clara_birds
bewicksswan						jordan
bird	avian		avian	avian		clara_birds
bkswan						jordan
blachheadedgull	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	jordan
black-crownednightheron	Black-crowned_night_heron		heron	pelecaniformes		clara_birds
black-headedgoose	black-headed_goose		goose	anseriformes		clara_birds
black-headedgull	black-headed_gull		gull	charadriiformes		clara_birds
black-neckedgrebe	black-necked_grebe		grebe	podicipediformes		clara_birds
black_crowned_night_heron	Black-crowned_night_heron		heron	pelecaniformes		clara_birds
black_duck	American_black_duck		duck	anseriformes		clara_birds
black_scoter	black_scoter		duck	anseriformes		clara_birds
black_swan	black_swan		swan	anseriformes		clara_birds
blackbackedgull	blackbackedgull		gull	charadriiformes	wild	jordan,clara_global
blackbelliedplover	blackbelliedplover	Pluvialis squatarola	wader	charadriiformes	wild	clara_nam
blackbelliedwhistlingduck						jordan
blackbilledmagpie	blackbilledmagpie	Pica hudsonia	passerine	passeriformes	wild	clara_nam,clara_global
blackbird	blackbird	Turdus merula	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
blackbrant	blackbrant	Branta bernicla nigricans	goose	anseriformes	wild	clara_nam,clara_global
blackbulbul	black_bulbul		passerine	passeriformes		clara_birds
blackchicken						jordan
blackcrownednightheron	blackcrownednightheron	Nycticorax nycticorax	heron	pelecaniformes	wild	clara_nam,clara_global
blackduck	American_black_duck		duck	anseriformes		clara_birds
blackfacedspoonbill	blackfacedspoonbill	Platalea minor	wader	pelecaniformes	wild	jordan,clara_global
blackheadeadgull	blackheadedgull	Chroicocephalus ridibundus	gull	charadriiformes	wild	jordan,clara_global
blackheadedgull	black-headed_gull	Chroicocephalus ridibundus	gull	charadriiformes	wild	clara_birds,clara_global
blackheadedheron						jordan
blackleggedkitiwake						jordan
blackleggedkittiwake	blackleggedkittiwake	Rissa tridactyla	gull	charadriiformes	wild	clara_nam,clara_global
blackneckcrane						jordan
blackneckedgrebe	black-necked_grebe		grebe	podicipediformes		clara_birds
blackneckedswan	blackneckswan	Cygnus melancoryphus	swan	anseriformes	unknown	jordan,clara_global
blackneckswan	blackneckswan	Cygnus melancoryphus	swan	anseriformes	unknown	clara_nam
blacknestedgrebe	black-necked_grebe		duck	anseriformes		clara_birds
blackscoter	blackscoter	Melanitta americana	duck	anseriformes	wild	clara_nam,clara_global
blackskimmer	blackskimmer	Rynchops niger	seabird	charadriiformes	wild	clara_nam,clara_birds,clara_global
blackswan	blackswan	Cygnus atratus	swan	anseriformes	wild	clara_nam,clara_birds,clara_global
blackswift	blackswift	Cypseloides niger	swift	apodiformes	wild	clara_nam,clara_global
blackthroatedcrane	blackneckedcrane	Grus nigricollis	crane	gruiformes	wild 	jordan,clara_global
blackturnstone	blackturnstone	Arenaria melanocephala	wader	charadriiformes	wild	clara_nam,clara_global
blackvulture	blackvulture	Coragyps atratus	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
blhgull						jordan
blue_winged-teal	blue-winged_teal		duck	anseriformes		clara_birds
bluebird						jordan
bluecrane						jordan
bluegoose						jordan
bluejay	bluejay	Cyanocitta cristata	passerine	passeriformes	wild	clara_nam,clara_global
bluemagpie	blue_magpie		magpie	passeriformes		clara_birds
bluewingedteal	bluewingedteal	Spatula discors	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
bonapartesgull	bonapartesgull	Chroicocephalus philadelphia	gull	charadriiformes	wild	clara_nam,clara_global
brahmachicken	brahma_chicken		chicken	galliformes		clara_birds,jordan
brandtgoose	brant	Branta bernicla	goose	anseriformes	wild	clara_nam
brant	brant	Branta bernicla	goose	anseriformes	wild	clara_nam,clara_global
branta_leucopsis	barnacle_goose		goose	anseriformes		clara_birds
brantacanadensis	canada_goose	Branta canadensis	goose	anseriformes	wild	clara_birds,jordan,clara_global
brantaleucopsis	barnacle_goose	Branta leucopsis	goose	anseriformes	wild	clara_birds,clara_global
brantgoose	brant_goose	Branta bernicla	goose	anseriformes	wild	clara_birds,jordan,clara_global
brazilianteal	brazilianteal	Amazonetta brasiliensis	duck	anseriformes	unknown	clara_nam
breederchicken	breeder_chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,jordan
breederduck	breeder_duck		duck	anseriformes	domestic	clara_birds,jordan
brentgoose	brent_goose	Branta bernicla	goose	anseriformes	wild	clara_birds,clara_global
brewersblackbird	brewersblackbird	Euphagus cyanocephalus	passerine	passeriformes	wild	clara_nam
broadwingedhawk	broadwingedhawk	Buteo platypterus	raptor	accipitriformes	wild	clara_nam,clara_global
broildrduck	domesticduck		duck	anseriformes	domestic	jordan
broiler	chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,clara_global
broilerbreederschicken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_global
broilerchicken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_birds,clara_global
broilerduck	broiler_duck		duck	anseriformes	domestic	clara_birds,jordan
bronzeturkey	bronze_turkey		turkey	galliformes		clara_birds,jordan
brown-headedgull	brown-headed_gull		gull	charadriiformes		clara_birds
brown-headgull	brown-headed_gull		gull	charadriiformes		clara_birds
brown_headed_gull	brown-headed_gull		gull	charadriiformes		clara_birds
brown_headedgull	brown-headed_gull		gull	charadriiformes		clara_birds
brownbooby	brownbooby	Sula leucogaster	seabird	suliformes	wild	jordan,clara_global
brownheadedgull	brown-headed_gull	Chroicocephalus brunnicephalus	gull	charadriiformes	wild	clara_birds,clara_global
brownpelican	brownpelican	Pelecanus occidentalis	pelican	pelecaniformes	wild	clara_nam,clara_global
brownskua	brownskua	Stercorarius antarcticus	seabird	charadriiformes	wild	jordan
bubobubo	eagleowl	Bubo bubo	raptor	accipitriformes	wild	jordan,clara_global
bucefala_clangula	common_goldeneye		duck	anseriformes		clara_birds
bucephala_albeola	bufflehead		duck	anseriformes		clara_birds
bufflehead	bufflehead	Bucephala albeola	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
buffleheadduck	bufflehead	Bucephala albeola	duck	anseriformes	wild	jordan,clara_global
buffneckedibis						jordan
bufforpingtonchicken						jordan
bulbul						jordan
burrowingowl						jordan
buteobuteo	common_buzzard	Buteo buteo	raptor	accipitriformes	wild	clara_birds,clara_global
buzzard	buzzard		raptor	accipitriformes	wild	clara_birds,clara_global
cacklinggoose	cacklinggoose	Branta hutchinsii	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
cairina_moschata	Muscovy_duck	Cairina moschata	duck	anseriformes		clara_birds
cairinamoschata	muscovyduck	Cairina moschata	duck	anseriformes	unknown	jordan,clara_global
calidris_alba	sanderling		wader	charadriiformes		clara_birds
calidris_alpina	dunlin		wader	charadriiformes		clara_birds
calidris_canutus	red_knot		wader	charadriiformes		clara_birds
calidris_pusilla	semi-palmated_sandpiper		wader	charadriiformes		clara_birds
calidrisalba	sanderling	Calidris alba	wader	charadriiformes	wild	jordan,clara_global
californiacondor	californiacondor	Gymnogyps californianus	raptor	accipitriformes	wild	clara_nam,clara_global
californiagull	californiagull	Larus californicus	gull	charadriiformes	wild	clara_nam,clara_global
camel	camel		camel	camel		clara_birds
canada_goose	canada_goose		goose	anseriformes		clara_birds
canadagoose	canadagoose	Branta canadensis	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
canine	canine		canine	canine		clara_birds
canis_lupus_familiaris	canine		canine	canine		clara_birds
canvasback	canvasback	Aythya valisineria	duck	anseriformes	wild	clara_nam
capebarrengoose						jordan
capecormorant	capecormorant	Phalacrocorax capensis	seabird	suliformes	wild	jordan
capegannet						jordan
capeteal	capeteal	Anas capensis	duck	anseriformes	unknown	clara_nam,clara_birds,clara_global
captivegoose						jordan
carolinaduck	woodduck	Aix sponsa	duck	anseriformes	wild	jordan,clara_global
carrioncrow	carrioncrow	Corvus corone	passerine	passeriformes	wild	jordan,clara_global
cascadeduck	cascadeduck		duck	anseriformes	domestic	clara_nam,clara_birds,clara_global
caspiangull	caspian_gull	Larus cachinnans	gull	charadriiformes	wild	clara_birds,clara_global
caspiantern	caspiantern	Hydroprogne caspia	tern	charadriiformes	wild	clara_nam,clara_global
cat	feline		feline	carnivora		clara_birds
catalinamacaw	catalinamacaw	Ara ararauna or Ara macao	parrot	psittaciformes	unknown	clara_nam,clara_global
cattleegret	cattleegret	Ardea ibis	wader	pelecaniformes	wild	clara_nam,clara_birds
ccrow	crow		crow	passeriformes		clara_birds
cgull						jordan
ch	chicken		chicken	galliformes		clara_birds
chciken						jordan
chen_canagica	emperor_goose		goose	anseriformes		clara_birds
chestnut_teal	chestnut_teal		duck	anseriformes		clara_birds
chestnutmunia	chestnut_munia		finch	passeriformes		clara_birds
chestnutteal						jordan
chichen	chicken	Gallus gallus	chicken	galliformes	domestic	jordan,clara_global
chick						jordan
chicken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_birds,clara_global
chickencobb						jordan
chickenl	chicken		chicken	galliformes		clara_birds,jordan
chiken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,clara_global
chileanflamingo	chileanflamingo	Phoenicopterus chilensis	wader	phoenicopteriformes	unknown	clara_nam
chiloewigeon	chiloe_wigeon		duck	anseriformes		clara_birds,jordan
chinesepondheron	Chinese_pond_heron		heron	pelecaniformes		clara_birds
chineseringneckpheasant	ringneckpheasant	Phasianus colchicus	pheasant	galliformes	wild	clara_nam,clara_birds,clara_global
chinstrappenguin						jordan
chlidoniashybrida						jordan
chroicocephalus_ridibundus	black-headed_gull		gull	charadriiformes		clara_birds
chroicocephalusridibundus	black-headed_gull	Chroicocephalus ridibundus	gull	charadriiformes	wild	clara_birds,jordan,clara_global
chukar	chukar		partridge	galliformes		clara_birds
chukkar	chukar		partridge	galliformes		clara_birds,jordan
ciconiaciconia	white_stork	Ciconia ciconia	stork	ciconiiformes	wild	clara_birds,clara_global
cignusolor	mute_swan	Cygnus olor	goose	anseriformes	wild	clara_birds,clara_global
cinereousvulture	cinereous_vulture	Aegypius monachus	raptor	accipitriformes		clara_birds
cinnamonteal	cinnamonteal	Spatula cyanoptera	duck	anseriformes	wild	clara_nam,clara_global
ck	chicken		chicken	galliformes		clara_birds
clangula_hyemalis	long-tailed_duck		duck	anseriformes		clara_birds
cloacalswabece1						jordan
columbapalumbus	common_wood_pigeon	Columba palumbus	pigeon	columbiformes	wild	clara_birds,jordan,clara_global
commercialchicken						jordan
commomteal						jordan
common_goldeneye	common_goldeneye	Bucephala clangula	duck	anseriformes		clara_birds
common_pochard	common_pochard		duck	anseriformes		clara_birds
common_shelduck	common_shelduck		duck	anseriformes		clara_birds
common_teal	eurasian_teal		duck	anseriformes		clara_birds
commonbarnowl	barnowl	Tyto alba	owl	strigiformes	wild	clara_nam,clara_global
commonbussard	common_buzzard		passerine	accipitriformes		clara_birds
commonbuzzard	common_buzzard	Buteo buteo	passerine	accipitriformes	wild	clara_birds,clara_global
commoncoot	common_coot	Fulica atra	coot	gruiformes	wild	clara_birds,clara_global
commoncormorant	greatcormorant	Phalacrocorax carbo	seabird	suliformes	wild	jordan
commoncrane	common_crane	Grus grus	crane	gruiformes	wild	clara_birds,clara_global
commoneider	commoneider	Somateria mollissima	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
commoneiders	commoneider	Somateria mollissima	duck	anseriformes	wild	clara_nam,clara_global
commongoldeneye	commongoldeneye	Bucephala clangula	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
commongrackle	commongrackle	Quiscalus quiscula	passerine	passeriformes	wild	clara_nam,clara_global
commongull	common_gull	Larus canus	gull	charadriiformes		clara_birds,clara_global
commonkestel						jordan
commonkestral	common_kestrel		raptor	falconiformes		clara_birds
commonkestrel	common_kestrel	Falco tinnunculus	raptor	falconiformes		clara_birds,clara_global
commonketrel	common_kestrel		raptor	falconiformes		clara_birds
commonkingfisher						jordan
commonloon	commonloon	Gavia immer	duck	gaviiformes	wild	clara_nam,clara_global
commonmagpie	common_green_magpie		passerine	passeriformes		clara_birds
commonmerganser	commonmerganser	Mergus merganser	duck	anseriformes	wild 	clara_nam
commonmoorhen						jordan
commonmurre	commonmurre	Uria aalge	gull	charadriiformes	wild	clara_nam,clara_global
commonmyna	common_myna		passerine	passeriformes		clara_birds
commonpheasant	common_pheasant	Phasianus colchicus	pheasant	galliformes	wild	clara_birds,clara_global
commonpochard	common_pochard		duck	anseriformes		clara_birds
commonporchard						jordan
commonquail	quail	Coturnix coturnix	quail	galliformes	unknown	jordan,clara_global
commonraven	commonraven	Corvus corax	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
commonshelduck	commonshelduck	Tadorna tadorna				jordan,clara_global
commonsnipe						jordan
commonteal	Eurasian_teal	Anas crecca	duck	anseriformes		clara_birds,clara_global
commontern	commontern	Sterna hirundo	tern	charadriiformes	wild	clara_nam,clara_birds,clara_global
comongoldeneye	commongoldeneye	Bucephala clangula	duck	anseriformes	wild	jordan
condor	condor		raptor	charadriiformes		clara_birds
coopershawk	coopershawk	Accipiter cooperii	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
coopersshawk	coopershawk	Accipiter cooperii	raptor	accipitriformes	wild	clara_nam,clara_global
coot	coot	Fulica	coot	gruiformes	wild	clara_birds,clara_global
copsychussaularis						jordan
coragypsatratus						jordan
cormorant	cormorant	Phalacrocoracidae	cormorant	suliformes	wild	clara_nam,clara_birds,clara_global
corvus_frugilegus	rook		passerine	passeriformes		clara_birds
corvuscorvus			passerine	passeriformes	wild	jordan,clara_global
corvusmonedula						jordan,clara_global
corvusossifragus	fishcrow	Corvus ossifragus	crow	passeriformes	wild	clara_nam,clara_global
coscorobaswan						jordan,clara_global
coturnix	quail		quail	galliformes		clara_birds
crane	crane	Gruidae	crane	gruiformes	wild	clara_nam,clara_birds,clara_global
crested_eagle	crested_eagle		raptor	accipitriformes		clara_birds
crestedcaracara	crestedcaracara	Caracara plancus	raptor	falconiformes	wild	clara_nam,clara_global
crestedeagle	crested_eagle		raptor	accipitriformes		clara_birds
crestedgoshawk	crested_goshawk		raptor	accipitriformes		clara_birds
crestedjay						jordan
crestedmyna	crested_myna		passerine	passeriformes		clara_birds
crestedscreamer	crestedscreamer	Chauna torquata	wader	anseriformes	unknown	clara_nam
crow	crow	Corvus brachyrhynchos	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
crownedcormorant						jordan
crownedcranezoo						jordan,clara_global
curlew	curlew		wader	charadriiformes		clara_birds,clara_global
cygnus						jordan,clara_global
cygnus_columbianus	tundra_swan	Cygnus columbianus	swan	anseriformes		clara_birds
cygnus_cygnus	whooper_swan		goose	anseriformes		clara_birds
cygnus_olor	mute_swan		goose	anseriformes		clara_birds
cygnusatratus						jordan
cygnuscolumbianus	tundraswan	Cygnus columbianus	swan	anseriformes	wild	jordan,clara_global
cygnuscygnus	whooper_swan		goose	anseriformes		clara_birds,clara_global
cygnusolor	mute_swan	Cygnus olor	goose	anseriformes	wild	clara_birds,clara_global
dack	duck		duck	anseriformes		clara_birds
dalmatianpelican	dalmatianpelican	Pelecanus crispus	pelican	pelecaniformes	unknown	clara_nam,clara_birds,clara_global
darkeyedjunco	darkeyedjunco	Junco hyemalis	passerine	passeriformes	wild	clara_nam
daurianstarling	daurian_starling		passerine	passeriformes		clara_birds
decoyduck						jordan
dendrocygna_viduata	white-faced_whistling_duck		duck	anseriformes		clara_birds
dk	avian		avian	avian		clara_birds
dog	canine		canine	canine		clara_birds
domestic_duck	duck		duck	anseriformes		clara_birds
domestic_green-winged_teal	domestic_green-winged_teal		duck	anseriformes		clara_birds
domestic_green_winged_teal	green-winged_teal		duck	anseriformes		clara_birds
domesticchicken						jordan
domesticduck	domesticduck		duck	anseriformes	domestic	clara_nam,clara_birds,clara_global
domesticgoose	domesticgoose	Anser anser domesticus or anser cygnoides domesticus	goose	anseriformes	domestic	clara_nam,clara_birds,clara_global
domesticgreen-wingedteal	green-winged_teal		duck	anseriformes		clara_birds
domesticgreen_wingedteal	green-winged_teal		duck	anseriformes		clara_birds
domesticmallard	mallard	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds,jordan
domesticmallardduck	mallard		duck	anseriformes		clara_birds
domesticturkey	domesticturkey	Meleagris gallopavo	turkey	galliformes	domestic	clara_nam,clara_birds,clara_global
donkey	donkey		donkey	equine		clara_birds
doublecrestedco						jordan
doublecrestedcormorant	doublecrestedcormorant	Phalacrocorax auritus	cormorant	suliformes	wild	clara_nam,clara_birds,clara_global
dove	dove		dove	columbiformes	wild	clara_nam,clara_birds,clara_global
dovekie	dovekie	Alle alle	seabird	charadriiformes	wild	clara_nam
duck	duck		duck	anseriformes	unknown	clara_nam,clara_birds,clara_global
duck_broiler	duck		duck	anseriformes		clara_birds
duckbroiler	duck		duck	anseriformes		clara_birds,jordan
ducks						jordan
dunlin	dunlin	Calidris alpina	wader	charadriiformes	wild	clara_nam,clara_global
eagle	eagle		raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
eagleowl	Eurasian_eagle-owl	Bubo bubo	owl	strigiformes	wild	clara_birds,clara_global
earedgrebe	earedgrebe	Podiceps nigricollis	grebe	podicipediformes	wild	clara_nam,clara_birds,clara_global
easternbuzzard	eastern_buzzard	Buteo japonicus	raptor	accipitriformes	wild	clara_birds,jordan,clara_global
easternscreechowl	easternscreechowl	Megascops asio	owl	strigiformes	wild	clara_nam
eg	avian		avian	avian		clara_birds
egret	egret		heron	pelecaniformes		clara_birds,clara_global
egrettagarzetta	little_egret		heron	pelecaniformes		clara_birds,jordan,clara_global
egyptiangoose	egyptiangoose	Alopochen aegyptiaca	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
eider	commoneider	Somateria mollissima	duck	anseriformes	wild	clara_nam,clara_global
embdengoose	embdengoose	Anser anser domesticus or anser cygnoides domesticus	goose	anseriformes	domestic	clara_nam,clara_birds,clara_global
emperor_goose	emperor_goose		goose	anseriformes		clara_birds
emperorgoose						jordan
emu	emu	Dromaius novaehollandiae	emu	casuariiformes	domestic	clara_nam,clara_birds,clara_global
emy						jordan
environment	environment		environment	environmen		clara_birds
eq	equine		equine	equine		clara_birds
equi_2	equine		equine	equine		clara_birds
equine	equine		equine	equine		clara_birds
equus_caballus	equine		equine	equine		clara_birds
equus_ferus_caballus	equine		equine	equine		clara_birds
eurasian_eagle_owl	Eurasian_eagle-owl		owl	strigiformes		clara_birds
eurasiancollareddove	eurasiancollareddove	Streptopelia decaocto	dove	columbiformes	wild	clara_nam,clara_global
eurasiancoot						jordan
eurasiancurlew	Eurasian_curlew		wader	charadriiformes		clara_birds,clara_global
eurasianeagelowl	Eurasian_eagle-owl		owl	strigiformes		clara_birds
eurasianeagleowl	Eurasian_eagle-owl		owl	strigiformes		clara_birds,clara_global
eurasiangoshawk						jordan
eurasianherringgull						jordan
eurasianjay						jordan,clara_global
eurasianmagpie						jordan,clara_global
eurasianoystercatcher						jordan,clara_global
