strain_host	corrected_host	latin_name	category	order	domesticstatus	source
open_billedstork	open-billed_stork		stork	ciconiiformes		clara_birds
open_billstork	open-billed_stork		stork	ciconiiformes		clara_birds
openbill	open-billed_stork		stork	ciconiiformes		clara_birds
openbill_stork	open-billed_stork		stork	ciconiiformes		clara_birds
openbillstork	open-billed_stork		stork	ciconiiformes		clara_birds
orientalmagpierobin	Oriental_magpie-robin		passerine	passeriformes		clara_birds
ornamentalbird						jordan
osprey	osprey	Pandion haliaetus	hawk	accipitriformes	wild	clara_nam,clara_global
ostrich	ostrich	Struthio camelus	ostrich	struthioniformes	domestic	clara_nam,clara_birds
ostriches						jordan
other_avian	avian		avian	avian		clara_birds
otusscops	Eurasian_scops_owl		owl	strigiformes		clara_birds,jordan,clara_global
owl	owl	Strigidae	owl	strigiformes	wild	clara_nam,clara_birds,clara_global
oxyura_jamaicensis	ruddy_duck		duck	anseriformes		clara_birds
oystercatcher	oystercatcher		wader	charadriiformes		clara_birds,clara_global
pacific_golden_plover	pacific_golden_plover		wader	charadriiformes		clara_birds
pacificblackduck						jordan
pacificloon	pacificloon	Gavia pacifica	duck	gaviiformes	wild	clara_nam
paintedstork						jordan
parasiticjaeger	parasiticjaeger	Stercorarius parasiticus	gull	charadriiformes	wild	clara_nam,clara_global
parrot	parrot	Psittacidae	parrot	psittaciformes	unknown	clara_nam,clara_global
partridge	partridge	Phasianidae	partridge	galliformes	unknown	clara_nam,clara_birds,clara_global
pavo						jordan,clara_global
pavocristatus						jordan,clara_global
peacefuldove	peaceful_dove		dove	columbiformes		clara_birds
peacock	peafowl	Pavo	peafowl	galliformes	unknown	clara_nam,clara_birds,clara_global
peafowl	peafowl	Pavo	peafowl	galliformes	unknown	clara_nam,clara_birds,clara_global
pekinduck	pekinduck	Anas platyrhynchos	duck	anseriformes	domestic	clara_nam,clara_birds,clara_global
pekingduck	Peking_duck		duck	anseriformes		clara_birds
pelecanus						jordan,clara_global
pelecanusconspicillatus	Australian_pelican		pelican	pelecaniformes		clara_birds,clara_global
pelecanuscrispus	Dalmatian_pelican		pelican	pelecaniformes		clara_birds,clara_global
pelecanusoccidentalis	brownpelican	Pelecanus occidentalis	seabird	pelecaniformes	wild	jordan,clara_global
pelecanusthagus						jordan
pelican	pelican	Pelecanidae	pelican	pelecaniformes	wild	clara_nam,clara_birds,clara_global
penguin						jordan
peregrine	peregrine_falcon		raptor	falconiformes		clara_birds
peregrine_falcon	peregrine_falcon		raptor	falconiformes		clara_birds
peregrinefalcon	peregrinefalcon	Falco peregrinus	raptor	falconiformes	wild	clara_nam,clara_birds,clara_global
perigrinefalcon	peregrinefalcon	Falco peregrinus	raptor	falconiformes	wild	jordan
peru						jordan,clara_global
peruveanbooby						jordan,clara_global
peruvianbooby	peruvianbooby	Sula variegata	seabird	suliformes	wild	jordan,clara_global
pet_bird	pet_bird		avian	avian		clara_birds
pfalcon	peregrinefalcon	Falco peregrinus	raptor	falconiformes	wild	jordan
ph	avian		avian	avian		clara_birds
phalacrocorax	phalacrocorax		cormorant	suliformes		clara_birds
phalacrocoraxcarbo	great_cormorant		cormorant	suliformes		clara_birds,clara_global
